catalogNbr,coreq_text,course_code,created_at,description,id,instructors,outcomes,prereq_confidence,prereq_courses_mentioned,prereq_has_complex_logic,prereq_text,roster,subject,title,titleShort,unitsMax,unitsMin
4999,,CS 4999,2025-08-17T20:38:24.909771,Independent reading and research for undergraduates.,FA25-CS-4999-1,"[""ra625"", ""la13"", ""yya5"", ""sb2373"", ""kb97"", ""sjb344"", ""jt947"", ""dsb253"", ""kpb3"", ""cz448"", ""awb93"", ""ctc9"", ""ec583"", ""mrc26"", ""rlc7"", ""drc44"", ""asd239"", ""cd326"", ""cmd353"", ""cd434"", ""nld42"", ""se37"", ""de226"", ""jnf27"", ""cpg5"", ""dpg5"", ""fvg3"", ""jyh13"", ""bh497"", ""hbh46"", ""gh384"", ""ak735"", ""jmk6"", ""tj36"", ""rdk2"", ""aj495"", ""mfj28"", ""nhs59"", ""ool6"", ""mad324"", ""ws455"", ""avz2"", ""phg5"", ""mru8"", ""mc288"", ""srf72"", ""nk447"", ""mn469"", ""jk2287"", ""ms3375"", ""sad252"", ""gg434"", ""dck10"", ""hk478"", ""ljl2"", ""rz13"", ""srm2"", ""jfm37"", ""dm655"", ""cdm89"", ""rnp3"", ""khp37"", ""mr249"", ""als485"", ""fbs2"", ""bs54"", ""dbs10"", ""kns32"", ""ks999"", ""et28"", ""it224"", ""rv22"", ""hw228"", ""kqw4"", ""wmw2"", ""dw36"", ""am2344"", ""jah659"", ""kme72"", ""tb557"", ""hy299"", ""ks2375"", ""tsp53"", ""sf375"", ""sa933"", ""sc2582"", ""wgj23"", ""zz284"", ""ma839"", ""ja679"", ""dha7"", ""he93"", ""cb535"", ""fb238"", ""tkc28"", ""ajc473"", ""sd977"", ""rd597"", ""ae333"", ""kf382"", ""sg2385"", ""ng343"", ""zg265"", ""plg67"", ""ug28"", ""mpk76"", ""azk22"", ""kdf4"", ""ddl46"", ""wm347"", ""eam398"", ""dm484"", ""km967"", ""jgm19"", ""acm22"", ""rn283"", ""an17"", ""fp264"", ""ep432"", ""tr297"", ""tjr92"", ""amr459"", ""zds22"", ""pjs54"", ""vs443"", ""rs2293"", ""jjs533"", ""at422"", ""amt298"", ""ajt253"", ""mv443"", ""av567"", ""abw35"", ""fw259"", ""sbw11"", ""mmw255"", ""qy242"", ""fy86"", ""cel85""]",,0.0,0,False,,FA25,CS,Independent Reading and Research,Independent Reading and Research,4.0,1.0
5110,,CS 5110,2025-08-17T20:38:24.909778,"An introduction to the theory, design, and implementation of programming languages. Topics include operational semantics, type systems, higher-order functions, scope, lambda calculus, laziness, exceptions, side effects, continuations, objects, and modules. Also discussed are logic programming, concurrency, and distributed programming.",FA25-CS-5110-1,"[""jnf27""]",,0.6000000000000001,1,True,CS 3110 or permission of instructor.,FA25,CS,Programming Languages and Logics,Programming Languages and Logics,4.0,4.0
5112,,CS 5112,2025-08-17T20:38:24.909789,"This course covers the algorithms and data structures that are fundamental to modern large-scale applications. We will cover a range of techniques including advanced graph algorithms, hash tables, vector search, and streaming and sketching algorithms. Applications will include selected topics in storage and memory systems and machine learning.",FA25-CS-5112-1,"[""ajc473""]",,0.0,0,False,"A strong foundation in programming, typically demonstrated by successful completion of basic undergraduate-level computer science courses.",FA25,CS,Algorithms and Data Structures for Applications,Algorithms and Data Structures for Applications,3.0,3.0
5154,,CS 5154,2025-08-17T20:38:24.909802,"Software testing is a widely used approach for detecting flaws in software. Systematic and organized approaches to software testing will be covered, including test adequacy criteria, manual and automatic generation of test inputs, regression testing, debugging, and dynamic analyses for detecting known classes of software errors.",FA25-CS-5154-1,"[""ool6""]",,0.6000000000000001,2,True,"graduate standing in CS, or CS majors who have taken CS 3110 or CS 4120, or permission of instructor.",FA25,CS,Software Testing,Software Testing,3.0,3.0
5306,,CS 5306,2025-08-17T20:38:24.909815,"Crowdsourcing and human computation refer to various ways that computing has brought together human labor to achieve outcomes that were previously beyond our individual capabilities or expectations.  Wikipedia's millions of articles, the success of Linux and other open source software projects, citizen science, and the generation of large datasets for machine learning and artificial intelligence using microlabor are all examples of ways in which technology and people together have exceeded the capabilities of people or machines in isolation. This course will survey the state of the art in this area and give practical knowledge of the area, grounded in numerous examples in diverse settings.",FA25-CS-5306-1,"[""hbh46""]",,0.0,0,True,advanced coursework in Computer Science.,FA25,CS,Crowdsourcing and Human Computation,Crowdsourcing and Human Computation,3.0,3.0
5320,,CS 5320,2025-08-17T20:38:24.909824,"Introduction to modern database and data storage systems. Concepts covered include data models, query languages, database design, storage structures, access methods, query processing and optimization, transaction management, and recovery in both relational and nonrelational data storage systems.",FA25-CS-5320-1,"[""sg2385""]",,0.9,2,True,CS 2110 or CS 2800.,FA25,CS,Introduction to Database Systems,Introduction to Database Systems,3.0,3.0
5342,,CS 5342,2025-08-17T20:38:24.909835,"Trust & Safety is an emerging field that focuses on reducing the harm from interpersonal abuse in digital spaces. The abuse types involved - harassment, misinformation, unwanted sexual content - are often lawful but awful, requiring developers to build their own socio-technical frameworks of what is appropriate behavior in their platform. In this course, we will look at digital abuse through an analysis of historical incidents. We will study how the field developed standards across algorithmic response, product design and manual removals. Students will join teams to describe an emerging online abuse type, develop appropriate moderation pipelines (e.g., using modern machine learning such as LLMs), and detail associated policies, all in an environment mimicking the realities seen in practice. This course might expose students to disturbing material.",FA25-CS-5342-1,"[""am3368""]",,0.0,0,False,,FA25,CS,"Trust and Safety: Platforms, Policies, Products","Trust and Safety: Platforms, Policies, Products",3.0,3.0
5411,,CS 5411,2025-08-17T20:38:24.909841,"Studies the practical aspects of operating systems through the design and implementation of an operating system kernel that supports multiprogramming, virtual memory, and various input-output devices. All the programming for the project is in a high-level language.",FA25-CS-5411-1,"[""rv22""]",,0.0,0,False,,FA25,CS,Practicum in Operating Systems,Practicum in Operating Systems,2.0,2.0
5414,,CS 5414,2025-08-17T20:38:24.909848,"Studies the abstractions and algorithms that constitute the foundations for implementing concurrent and distributed computing, with emphasis on supporting fault-tolerance. Topics vary to reflect advances in the field but typically include global state snapshots, causality and clocks (logical and physical), agreement and consensus, primary-backup and state-machine replication, quorums, and gossip. Students undertake a substantial software project to put these ideas into practice. Many students obtain additional project credit by co-registering in CS 4999 or CS 5999.",FA25-CS-5414-1,"[""la13"", ""la13""]",,0.6000000000000001,1,True,CS 4410 or permission of instructor.,FA25,CS,Distributed Computing Principles,Distributed Computing Principles,4.0,4.0
5416,,CS 5416,2025-08-17T20:38:24.909858,"CS 5416 is a course focused on the systems aspects of performance for cloud-hosted AI and ML applications such as LLMs, as well as complex systems in which AI or ML is just one element. The T/R lectures are shared with an undergraduate class, CS 4414 but the (required) recitation sections cover content that the CS 4414 students will not see and the last of the multi-stage projects will focus on cloud AI and ML scenarios, while the last of the CS 4414 projects focuses on a single-computer scenario. Thus even though you will overlap with Cornell seniors (and some juniors) in the lecture hall, you will also gain additional perspective and knowledge in recitation and will be doing a more ambitious style of project that comes very close to what companies are undertaking to integrate AI into their cloud solutions. The CS 4414 students will have a separate discussion board than you, and although you do take the same prelim exams, your grading is more focused on projects (25% exams, 75% projects, in contrast to the 50-50 balance for CS 4414).

CS 5416 starts by exposing students to programming applications at the systems level and to the operating systems abstractions that these applications depend on. It then builds on this foundation to look at systems issues that shape the performance and reliability of modern ML and AI applications, such as “chat bots” and question-answering AIs. We do not expect students to learn how these ML and AI tools work, in a mathematical sense. Instead our focus is on how they execute, where components run and how they talk one another, how they interact with big-data storage, and how they leverage accelerators such as GPU. CS 4414 students who attend these cloud-computing and ML lectures won’t be using the material in their projects, whereas CS 5416 students will gain hands-on experience working with and optimizing ML and AI applications that have this form. The required recitation is where you will learn about the additional tools and techniques that are needed to perform those tasks",FA25-CS-5416-1,"[""kpb3"", ""kpb3""]",,0.6000000000000001,2,True,"CS 2110, CS 3410, or equivalent.",FA25,CS,Cloud Computing and ML Hosting,Cloud Computing and ML Hosting,4.0,4.0
5424,,CS 5424,2025-08-17T20:38:24.909869,"This course covers the human-centered and technical workings behind interactive devices ranging from cell phones and video game controllers to household appliances and smart cars. This is a hands-on, lab-based course. For the final project, students will build a functional IoT prototype of their own design, using Python, single-board Linux computer, embedded microcontrollers, and/or other electronic components. Topics include electronics prototyping, interface design, sensors and actuators, microcontroller development, physical prototyping, and user testing.",FA25-CS-5424-2,"[""wgj23""]",,0.6000000000000001,1,True,CS 1110 or equivalent.,FA25,CS,Developing and Designing Interactive Devices,Developing and Designing Interactive Devices,3.0,3.0
5434,,CS 5434,2025-08-17T20:38:24.909879,"This course is about safety, security, privacy, alignment, and adversarial robustness of modern AI and ML technologies.  Topics include threats and risks specific to these technologies, understanding vulnerabilities and state-of-the-art defenses, and how to build and use trustworthy AI/ML systems.",FA25-CS-5434-1,"[""jxm3""]",,0.0,0,False,,FA25,CS,Trustworthy AI,Trustworthy AI,3.0,3.0
5470,,CS 5470,2025-08-17T20:38:24.909885,"Systems for Large-scale ML is a new advanced course at Cornell University designed to equip students with hands-on expertise in designing and operating scalable machine learning systems. With the rise in popularity of large ML models like GPT, LLaMA, and DeepSeek, tackling systems-level challenges of distributing training and inference workloads on multi-accelerator hardware while ensuring fault tolerance has become a crucial skill for both graduate and undergraduate students in computer science. The course will teach students to tackle systems challenges in both training and inferring from large-scale ML models. We will combine theory and hands-on teaching through lectures, assignments, and projects.",FA25-CS-5470-1,"[""rs2293""]",,0.0,0,False,,FA25,CS,Systems for Large-Scale ML,Systems for Large-Scale ML,3.0,3.0
5620,,CS 5620,2025-08-17T20:38:24.909891,"Introduction to the principles of computer graphics in two and three dimensions. Topics include digital images, filtering and antialiasing, 2-D and 3-D affine geometry, ray tracing, perspective and 3-D viewing, the graphics pipeline, curves and surfaces, and human visual perception. Homework assignments require some Java programming.",FA25-CS-5620-1,"[""mad324""]",,0.6000000000000001,7,True,"CS 2110 or ENGRD 2110, and MATH 1910 or MATH 1120, and MATH 2940 or MATH 2210 or MATH 2310 or equivalent.",FA25,CS,Introduction to Computer Graphics,Introduction to Computer Graphics,3.0,3.0
5621,,CS 5621,2025-08-17T20:38:24.909907,Provides CS 4620 students with hands-on experience in computer graphics programming on modern graphics hardware. This course emphasizes effective use of graphics APIs and the architecture of graphics applications.  A final project involves building a substantial interactive graphics system.  The course uses Javascript and WebGL for code development.,FA25-CS-5621-1,"[""srm2""]",,1.0,1,True,Prerequisite or corequisite: CS 5620.,FA25,CS,Computer Graphics Practicum,Computer Graphics Practicum,2.0,2.0
5650,,CS 5650,2025-08-17T20:38:24.909918,"This course presents an introduction to virtual and augmented reality technologies, with focus on fundamental principles from 3D math, human perception, graphics, and interaction. Concepts from the contributing fields of computer vision, computer graphics and human computer interaction will be introduced in the context of virtual and augmented reality. Students will be tasked with creating their own virtual or augmented reality application as a course project.",FA25-CS-5650-2,"[""hh586""]",,0.0,0,True,intermediate programming ability in C# or other object-oriented lagnuages. Familiarity with 3D game engines or strong desire to learn. Basic linear algebra.,FA25,CS,Virtual and Augmented Reality,Virtual and Augmented Reality,3.0,3.0
5670,,CS 5670,2025-08-17T20:38:24.909929,"An in-depth introduction to computer vision. The goal of computer vision is to compute properties of our world - including the 3D shape of an environment, the motion of objects, and the names of things - through analysis of digital images or videos. The course covers a range of topics, including low-level vision, 3D reconstruction, and object recognition, as well as key algorithmic, optimization, and machine learning techniques, including deep learning. This course emphasizes hands-on experience with computer vision and includes several programming projects.",FA25-CS-5670-1,"[""aho4""]",,0.39999999999999997,5,True,"CS 2110, CS 2800, MATH 1920 or equivalent and MATH 2310 or MATH 2940 or equivalent (Ithaca only).",FA25,CS,Introduction to Computer Vision,Introduction to Computer Vision,3.0,3.0
5672,,CS 5672,2025-08-17T20:38:24.909949,"This course will cover contemporary advances in computer vision. We will cover quick background on classical computer vision before delving into neural networks, modern methods for 3D reconstruction such as neural radiance fields, modern recognition systems based on vision-language models and multimodal language models, and recent trends in synthesis or image generation.",FA25-CS-5672-1,"[""bh497""]",,0.0,0,False,,FA25,CS,Frontiers of Computer Vision,Frontiers of Computer Vision,3.0,3.0
5682,,CS 5682,2025-08-17T20:38:24.909956,"Human-Computer Interaction (HCI) and design theory and techniques. Methods for designing, prototyping, and evaluating user interfaces. Basics of visual design, graphic design, and interaction design. Understanding human capabilities, interface technology, interface design methods, prototyping tools, and interface evaluation tools and techniques.",FA25-CS-5682-2,"[""tjr92"", ""nld42""]",,0.0,0,False,,FA25,CS,HCI and Design,HCI and Design,3.0,3.0
5700,,CS 5700,2025-08-17T20:38:24.909963,"Introduction to major topics in artificial intelligence, including heuristic search, game-playing, knowledge representation and reasoning, planning, probabilistic inference, sequential decision-making and reinforcement learning.",FA25-CS-5700-1,"[""bs54""]",,0.0,0,False,,FA25,CS,Foundations of AI Reasoning and Decision-Making,Foundations of AI Reasoning and Decision-Making,3.0,3.0
5727,,CS 5727,2025-08-17T20:38:24.909970,"This course covers algorithmic and computational tools for solving optimization problems with the goal of providing decision-support for business intelligence. We will cover the fundamentals of linear, integer and nonlinear optimization. We will emphasize optimization as a large-scale computational tool, and show how to link programming languages with optimization software to develop industrial-strength decision-support systems. We will demonstrate how to incorporate uncertainty into optimization problems. Throughout the course, we will cover a variety of modern applications, including pricing and marketing for e-commerce, ad auctions on the web, and on-line ride-sharing.",FA25-CS-5727-2,"[""ht88""]",,0.0,0,False,,FA25,CS,Optimization Methods,Optimization Methods,3.0,3.0
5750,,CS 5750,2025-08-17T20:38:24.909976,"Robotics is interdisciplinary and draws inspiration from many different fields towards solving a variety of tasks in real-world environments using physical systems. This course is a challenging introduction to basic computational concepts used broadly in robotics. By the end of this course, students should have a fundamental understanding of how the different sub-fields of robotics such as kinematics, state-estimation, motion planning, and controls come together to develop intelligent behaviors in physical robotic systems. The mathematical basis of each area will be emphasized, and concepts will be motivated using common robotics applications. Students will be evaluated using a mixture of theoretical and programming exercises throughout the semester.",FA25-CS-5750-1,"[""tb557"", ""tb557""]",,0.6000000000000001,5,True,"CS 1112, CS 2110, CS 2800, MATH 1920, MATH 2940 or their equivalents.",FA25,CS,Foundations of Robotics,Foundations of Robotics,4.0,4.0
5754,,CS 5754,2025-08-17T20:38:24.909990,"This Master's level course is designed to provide a hardware-centric overview of computer systems used in modern computing platforms. From the bottom up we will study the architecture of processor architectures (e.g., pipelined CPUs, ISA, RISC vs. CISC, out-of-order execution) and memory systems (e.g., memory hierarchy, caching, DRAM memories). We will understand how to evaluate the performance of modern processors and exploit parallelism in applications. This includes parallelization across multi-core CPUs, GPUs, and specialized hardware. Through ands-on assignments and an open-ended project students will develop a holistic understanding of modern computer systems and how they are designed.",FA25-CS-5754-2,"[""ug28""]",,0.0,0,False,,FA25,CS,Modern Computer Systems and Architecture,Modern Computer Systems and Architecture,3.0,3.0
5777,,CS 5777,2025-08-17T20:38:24.910016,"An introduction to the mathematical and algorithms design principles and tradeoffs that underlie large-scale machine learning on big training sets. Topics include: stochastic gradient descent and other scalable optimization methods, mini-batch training, accelerated methods, adaptive learning rates, parallel and distributed training, and quantization and model compression.",FA25-CS-5777-1,"[""cmd353""]",,0.6000000000000001,3,True,"CS 3780/CS 5780, CS 2110 or equivalents.",FA25,CS,Principles of Large-Scale Machine Learning Systems,Principles of Large-Scale Machine Learning Systems,4.0,4.0
5780,,CS 5780,2025-08-17T20:38:24.910040,"The course provides an introduction to machine learning, focusing on supervised learning and its theoretical foundations. Topics include: regularized linear models, boosting, kernels, deep networks, generative models, online learning, and ethical questions arising in ML applications.",FA25-CS-5780-1,"[""sc2582"", ""sc2582""]",,0.6,8,True,"CS 2800, probability theory (e.g. BTRY 3080, ECON 3130, MATH 4710, ENGRD 2700), linear algebra (e.g. MATH 2940), calculus (e.g. MATH 1920), and programming proficiency (e.g. CS 2110).",FA25,CS,Introduction to Machine Learning,Introduction to Machine Learning,4.0,4.0
5781,,CS 5781,2025-08-17T20:38:24.910064,"Machine learning is increasingly driven by advances in the underlying hardware and software systems. This course will focus on the challenges inherent to engineering machine learning systems to be correct, robust, and fast. The course walks through the development of a software library for machine learning from scratch, with each assignment requiring students to build models in their own library. Topics will include: tensor languages and auto-differentiation; model debugging, testing, and visualization; fundamentals of GPUs; compression and low-power inference. Guest lectures will cover current topics from ML engineers.",FA25-CS-5781-1,"[""rk849""]",,0.6000000000000001,1,True,"CS 2110, or equivalent programming experience.",FA25,CS,Machine Learning Engineering,Machine Learning Engineering,3.0,3.0
5785,,CS 5785,2025-08-17T20:38:24.910076,"Learn and apply key concepts of modeling, analysis and validation from machine learning, data mining and signal processing to analyze and extract meaning from data. Implement algorithms and perform experiments on images, text, audio and mobile sensor measurements. Gain working knowledge of supervised and unsupervised techniques including classification, regression, clustering, feature selection, and dimensionality reduction.",FA25-CS-5785-1,"[""jg2424"", ""vk379""]",,0.6000000000000001,1,True,"CS 2800 or equivalent and basic familiarity with Matlab or Python, or permission of instructor.",FA25,CS,Applied Machine Learning,Applied Machine Learning,3.0,3.0
5787,,CS 5787,2025-08-17T20:38:24.910087,"Students will learn deep neural network fundamentals, including, but not limited to, feed-forward neural networks, convolutional neural networks, network architectures, optimization methods, practical issues, recurrent neural networks, transformers, generative models, foundation models, current limitations of deep learning, and visualization techniques. We still study applications to problems in computer vision and to a lesser extent other domains such as natural language and audio processing.",FA25-CS-5787-1,"[""he93""]",,0.9,3,True,"CS 5785, ECE 5414, ORIE 5750.",FA25,CS,Deep Learning,Deep Learning,3.0,3.0
5820,,CS 5820,2025-08-17T20:38:24.910098,"Methodology for developing and analyzing efficient algorithms. Understanding the inherent complexity of natural problems via polynomial-time algorithms, advanced data structures, randomized algorithms, approximation algorithms, and NP-completeness. Additional topics may include algebraic and number theoretic algorithms, circuit lower bounds, online algorithms, or algorithmic game theory.",FA25-CS-5820-1,"[""rdk2"", ""rdk2""]",,0.9,1,True,CS 4820 or graduate level students.,FA25,CS,Analysis of Algorithms,Analysis of Algorithms,4.0,4.0
5830,,CS 5830,2025-08-17T20:38:24.910112,"A rigorous introduction to the theoretical foundations of the cryptography that powers much of the modern world. Topics include one-way functions, secret-key encryption, zero-knowledge proofs, signatures, public-key encryption etc. As this is a theoretical class, the emphasis will be on formal definitions and proofs.",FA25-CS-5830-1,"[""nhs59"", ""rnp3""]",,0.6000000000000001,2,True,"CS 2800 or equivalent, CS 4810 or mathematical maturity, or permission of instructor.",FA25,CS,Cryptography,Cryptography,3.0,3.0
5998,,CS 5998,2025-08-17T20:38:24.910124,Off-campus internship with industry in which a student gains knowledge and experience in the field of computer science.,FA25-CS-5998-1,[],,0.0,0,False,,FA25,CS,Master of Engineering Internship,Master of Engineering Internship,0.25,0.25
5999,,CS 5999,2025-08-17T20:38:24.910154,Independent or group project under the direction of a CS field member or researcher. Projects involve the development of a computer science application (software or hardware) useful in exploring and/or solving an engineering problem with a computer science focus.,FA25-CS-5999-1,"[""ra625"", ""la13"", ""yya5"", ""kb97"", ""sjb344"", ""gg434"", ""dsb253"", ""kpb3"", ""khp37"", ""awb93"", ""ctc9"", ""ec583"", ""mrc26"", ""sc2582"", ""av567"", ""asd239"", ""cd326"", ""cmd353"", ""cd434"", ""de226"", ""jnf27"", ""srf72"", ""cpg5"", ""dpg5"", ""fvg3"", ""jyh13"", ""bh497"", ""hbh46"", ""gh384"", ""tb557"", ""tj36"", ""aj495"", ""mfj28"", ""ak735"", ""jmk6"", ""rdk2"", ""dck10"", ""hk478"", ""ljl2"", ""rm92"", ""srm2"", ""jfm37"", ""mn469"", ""rnp3"", ""als485"", ""fbs2"", ""jk2287"", ""sg2385"", ""hg55"", ""bs54"", ""pjs54"", ""dbs10"", ""rs2293"", ""kns32"", ""et28"", ""kme72"", ""it224"", ""jah659"", ""rv22"", ""hw228"", ""kqw4"", ""wmw2"", ""alw289"", ""rz13"", ""cz448"", ""zz284"", ""nhs59"", ""am2344"", ""ool6"", ""mad324"", ""ws455"", ""avz2"", ""phg5"", ""mru8"", ""mc288"", ""cdm89"", ""sad252"", ""kdf4"", ""kf382"", ""tg436"", ""mpk76"", ""wm347"", ""km967"", ""acm22"", ""jjs533"", ""kz33"", ""ca548"", ""jjp274"", ""ma839"", ""ja679"", ""dha7"", ""sa933"", ""cb535"", ""fb238"", ""tkc28"", ""ajc473"", ""nld42"", ""sd977"", ""rd597"", ""se37"", ""ae333"", ""sf375"", ""zg265"", ""ng343"", ""plg67"", ""ug28"", ""wgj23"", ""nk447"", ""azk22"", ""vk379"", ""ddl46"", ""eam398"", ""dm484"", ""dm655"", ""jgm19"", ""rn283"", ""an17"", ""tsp53"", ""fp264"", ""ep432"", ""tr297"", ""tjr92"", ""amr459"", ""ms3375"", ""ks2375"", ""zds22"", ""vs443"", ""ks999"", ""amt298"", ""ajt253"", ""mv443"", ""abw35"", ""fw259"", ""sbw11"", ""mmw255"", ""dw36"", ""qy242"", ""fy86"", ""hy299"", ""cel85""]",,0.0,0,False,,FA25,CS,Master of Engineering Project,Master of Engineering Project,6.0,1.0
6006,,CS 6006,2025-08-17T20:38:24.910160,"This is an onboarding course that first-year PhD students in Computer Science are required to attend during their first semester at Cornell. This course seeks to more formally present some of the hidden curriculum that is so often the marker of success in graduate school. Topics will include: your health, wellness, and finances; selecting an advisor and research direction; applying for grants and fellowships; giving a professional talk; setting and managing expectations; choices and consequences in computing.",FA25-CS-6006-1,"[""am2344""]",,0.0,0,False,,FA25,CS,Succeeding in the Graduate Environment,Succeeding in the Graduate Environment,1.0,1.0
6117,,CS 6117,2025-08-17T20:38:24.910167,"An introduction to category theory, with a focus on material with established applications to computer science and programming languages, in particular. The course emphasizes developing comfort with abstraction and instantiation.",FA25-CS-6117-1,"[""jah659""]",,0.9,1,False,CS 3110.,FA25,CS,Category Theory for Computer Scientists,Category Theory for Computer Scientists,4.0,4.0
6120,,CS 6120,2025-08-17T20:38:24.910178,"This is a hands-on course about implementing programming languages. It covers intermediate representations, classic optimization, runtime systems, and more advanced techniques such as parallelization, just-in-time compilation, and garbage collection. Course work consists of reading and discussing both classic and modern research papers and implementation projects based on the LLVM compiler infrastructure.",FA25-CS-6120-1,"[""als485""]",,0.9,2,True,CS 4120 or CS 5120.,FA25,CS,Advanced Compilers,Advanced Compilers,4.0,4.0
6125,,CS 6125,2025-08-17T20:38:24.910188,"This seminar course will explore algorithmic fairness through a non-ideal lens. Rather than imagining what algorithmic fairness should look like in an ideal world, we will explore what the research tells us it looks like today, and what can be done given the incentives and practical constraints of the world we are in. For instance, the “silver bullets” of algorithmic fairness are often abstract calls made to increase participation, transparency, and regulation. However, each approach faces difficulties in practice. In an era where algorithmic fairness faces resistance from many fronts, it is critical that we foreground concrete proposals in addition to abstract ideals. In doing so, we’ll also discuss the consequences of taking on a perspective that might be overly reformist at the expense of radical re-imagining, and think through whether complementarity exists.",FA25-CS-6125-2,"[""aw877""]",,0.0,0,False,,FA25,CS,Non-Ideal Algorithmic Fairness,Non-Ideal Algorithmic Fairness,3.0,3.0
6158,,CS 6158,2025-08-17T20:38:24.910195,"Recent advances in Machine Learning have led to remarkable results in natural language processing, video generation, code generation, etc. On one hand, Machine Learning enables solving challenging software engineering problems through data-driven techniques. On the other hand, Machine Learning systems present novel software engineering challenges that traditional methods cannot handle. This course will explore research in this important intersection of software engineering and machine learning.  Topics that will be covered include 1) foundational software engineering concepts, such as testing, debugging, and program analysis, 2) software engineering techniques for improving the quality of machine learning systems, and 3) the use of machine-learning techniques (including Large Language Models) to improve software engineering.",FA25-CS-6158-1,"[""sd977""]",,0.5000000000000001,6,True,"at least one of the following courses or their equivalents: CS 3110, CS 4120, CS 5154 and at least one of the following courses or their equivalents: CS 3780, CS 4740, CS 4782.",FA25,CS,Software Engineering in the Era of Machine Learning,Software Engineering in the Era of Machine Learning,3.0,3.0
6210,,CS 6210,2025-08-17T20:38:24.910211,"Stable and efficient algorithms for linear equations, least squares, and eigenvalue problems. Direct and iterative methods are considered. Numerical programming is used extensively.",FA25-CS-6210-1,"[""dsb253""]",,0.0,0,False,,FA25,CS,Matrix Computations,Matrix Computations,3.0,3.0
6410,,CS 6410,2025-08-17T20:38:24.910218,"Advanced course in systems, emphasizing contemporary research in distributed systems. Topics may include communication protocols, consistency in distributed systems, faulttolerance, knowledge and knowledge-based protocols, performance, scheduling, concurrency control, and authentication and security issues.",FA25-CS-6410-1,"[""hw228"", ""hw228""]",,0.6000000000000001,1,True,CS 4410 or permission of instructor.,FA25,CS,Advanced Systems,Advanced Systems,4.0,4.0
6703,,CS 6703,2025-08-17T20:38:24.910228,"This is a studio style course that emphasizes collaborative learning.  It leverages the AI for Science Schmidt postdoc fellowship program and other programs. Schmidt postdoc fellows will present their research and progress.  We will discuss background literature, related research, and possible research directions in class. Throughout the semester, students will learn various AI research methodologies, including AI/ML code, packages, and software, and engage in discussions on current advancements and applications of AI in science and engineering.",FA25-CS-6703-1,"[""cpg5""]",,0.0,0,False,,FA25,CS,AI for Science,AI for Science,3.0,3.0
6741,,CS 6741,2025-08-17T20:38:24.910235,"Robust language understanding has the potential to transform how we interact with computers, extract information from text and study language on large scale. This research-oriented course examines machine learning and inference methods for recovering language structure and meaning. Possible topics include structured prediction and deep learning, methods for situated language understanding, language grounding, and learning to generate text.",FA25-CS-6741-1,"[""yya5""]",,0.6000000000000001,4,True,"CS 2110 or equivalent programming experience, CS 3780/CS 5780 or CS 6780 or equivalent.",FA25,CS,Topics in Natural Language Processing and Machine Learning,Topics in Natural Language Processing and Machine Learning,3.0,3.0
6742,,CS 6742,2025-08-17T20:38:24.910248,"More and more of life is now manifested online, and many of the digital traces that are left by human activity are increasingly recorded in natural-language format. This research-oriented course examines the opportunities for natural language processing to contribute to the analysis and facilitation of socially embedded processes. Possible topics include sentiment analysis, learning social-network structure, analysis of text in political or legal domains, review aggregation systems, analysis of online conversations, and text categorization with respect to psychological categories.",FA25-CS-6742-1,"[""cd326""]",,0.29999999999999993,1,True,"CS 3110 or equivalent programming experience, a course in artificial intelligence or any relevant subfield (e.g., NLP, information retrieval, machine learning).",FA25,CS,Natural Language Processing and Social Interaction,Natural Language Processing and Social Interaction,3.0,3.0
6752,,CS 6752,2025-08-17T20:38:24.910261,"How can we guarantee robots will never cause harm? How can we prove that complicated mechanical systems, controlled by computers and programmed by people, will always behave as expected under changing conditions and in a variety of uncertain environments? How do we formalize what such behaviors are? Guaranteeing safety, predictability and reliability of robots is crucial for the assimilation of such systems into society, be it at home or in the workplace. While every robotics researcher working with or on a robot is aware of safety issues, only recently the robotics community has begun looking at ways to either formally prove or grarantee by design different behavioral properties such as safety and correctness. This class will present recent results on the topic of formal methods for robotics and automation that combine and extend ideas from control theory, dynamical systems, automata theory, logic, model checking, synthesis, and hybrid systems.",FA25-CS-6752-2,"[""hk478""]",,0.0,0,False,,FA25,CS,Formal Methods for Robotics,Formal Methods for Robotics,3.0,3.0
6758,,CS 6758,2025-08-17T20:38:24.910268,"Deep learning has become a pivotal force in recent robotics research advancements, from estimating the state of the world to solving complex long-horizon tasks. The new paradigm shifts from traditional feature and model engineering to learning task-relevant representations from raw data. This is fueled by increasingly more affordable hardware and diverse data sources from which algorithms may learn from. This graduate-level course examines how deep learning approaches have been applied to robotics problems, including various topics of robot perception and control. We will also discuss the recent trend of large-scale representation learning and foundation models for robotics.",FA25-CS-6758-1,"[""kf382"", ""kf382""]",,0.0,0,False,,FA25,CS,Deep Learning for Robotics,Deep Learning for Robotics,4.0,4.0
6783,,CS 6783,2025-08-17T20:38:24.910274,"This course on machine learning theory introduces basic results, tools, and techniques used in analysis of statistical and online learning algorithms. The course also introduces the basics of computational learning theory.",FA25-CS-6783-1,"[""ks999"", ""ks999""]",,0.6000000000000001,5,True,"CS 3780/CS 5780 or CS 4786/CS 5786 or CS 6780 or equivalent, or permission of instructor.",FA25,CS,Machine Learning Theory,Machine Learning Theory,4.0,4.0
