catalogNbr,coreq_text,created_at,description,id,instructors,outcomes,prereq_confidence,prereq_courses_mentioned,prereq_has_complex_logic,prereq_text,roster,subject,title,titleShort,unitsMax,unitsMin
5223,,2025-08-17T17:19:40.432311,"Introduction to the fundamentals of numerical linear algebra: direct and iterative methods for linear systems, eigenvalue problems, singular value decomposition. In the second half of the course, the above are used to build iterative methods for nonlinear systems and for multivariate optimization. Strong emphasis is placed on understanding the advantages, disadvantages, and limits of applicability for all the covered techniques. Computer programming is required to test the theoretical concepts throughout the course.",SP25-CS-5223,"[""Anil Damle""]",,0.4000000000000001,5,True,"Prerequisite: MATH 2210 or MATH 2940 or equivalent, knowledge of programming, CS 3220 or CS 4210/MATH 4250 or permission of instructor.",SP25,CS,Numerical Analysis: Linear and Nonlinear Problems,Num Analysis: Lin&Nonlin Equat,0,0
5304,,2025-08-17T17:19:40.432375,"Massive amounts of data are collected by many companies and organizations and the task of a data scientist is to extract actionable knowledge from the data – for scientific needs, to improve public health, to promote businesses, for social studies and for various other purposes. This course will focus on the practical aspects of the field and will attempt to provide a comprehensive set of tools for extracting knowledge from data.",SP25-CS-5304,"[""Heejong Kim""]",,,,,,SP25,CS,Data Science in the Wild,Data Science in the Wild,0,0
5342,,2025-08-17T17:19:40.432382,"Trust &amp; Safety is an emerging field that focuses on reducing the harm from interpersonal abuse in digital spaces. The abuse types involved - harassment, misinformation, unwanted sexual content - are often ""lawful but awful,"" requiring developers to build their own socio-technical frameworks of what is appropriate behavior in their platform. In this course, we will look at digital abuse through an analysis of historical incidents. We will study how the field developed standards across algorithmic response, product design and manual removals. Students will join teams to describe an emerging online abuse type, develop appropriate moderation pipelines (e.g., using modern machine learning such as LLMs), and detail associated policies, all in an environment mimicking the realities seen in practice. This course might expose students to disturbing material.",SP25-CS-5342,"[""Thomas Ristenpart"", ""Alexios Mantzarlis""]","[""Recognize common abuse categories as they intersect with modern digital technologies."", ""Analyze the varying levers in the hands of product owners to reduce abuse, including safety-by-design, proactive ranking choices and reactive removals."", ""Recognize the ethical trade-offs behind content moderation decisions in online spaces."", ""Identify emerging risks and make decisions around the correct precision/recall boundaries for a classifier built to detect harmful content.""]",,,,,SP25,CS,"Trust and Safety: Platforms, Policies, Products",Trust and Safety,0,0
5356,,2025-08-17T17:19:40.432385,"This course aims to bridge the gap between academic studies of computer science and production software engineering. The course provides a fast-paced introduction to key tools and techniques that can facilitate the building of prototypes and of actual working systems. It introduces technologies for building Web applications and mobile applications, systems for effective storage of data, and tools that support and ease code writing, such as distributed version-control systems, editors and debuggers.",SP25-CS-5356,"[""Ludwig Schubert""]",,0.9,2,False,Prerequisite: CS 2110 or CS 2112.,SP25,CS,Building Startup Systems,Building Startup Systems,0,0
5410,,2025-08-17T17:19:40.432407,"Introduction to the design of systems programs, with emphasis on multiprogrammed operating systems. Topics include concurrency, synchronization, deadlocks, memory management, protection, input-output methods, networking, file systems and security. The impact of network and distributed computing environments on operating systems is also discussed.",SP25-CS-5410,"[""Robbert VanRenesse""]",,0.9,2,False,Prerequisite: CS 3410 or CS 3420.,SP25,CS,Operating Systems,Operating Systems,0,0
5411,,2025-08-17T17:19:40.432421,"Studies the practical aspects of operating systems through the design and implementation of an operating system kernel that supports multiprogramming, virtual memory, and various input-output devices. All the programming for the project is in a high-level language.",SP25-CS-5411,"[""Robbert VanRenesse"", ""Yu-Ju Huang""]",,0.95,1,False,Corequisite: CS 5410.,SP25,CS,Practicum in Operating Systems,Practicum in Oper Syst,0,0
5430,,2025-08-17T17:19:40.432438,"Surveys security for computers and communications networks, including policy issues (e.g., the national debates on cryptography policy) as well as technical approaches for implementing properties that comprise trustworthiness for a computing system: confidentiality, integrity, availability, and assurance. Discusses cryptographic protocols and other mechanisms for implementing authorization and authentication in hardware and in software. ",SP25-CS-5430,"[""Fred Schneider""]",,0.95,1,False,Prerequisite: CS 4410.,SP25,CS,System Security,System Security,0,0
5433,,2025-08-17T17:19:40.432453,,SP25-CS-5433,"[""Ari Juels""]",,1.0,0,False,"Prerequisite: a good level of programming experience—specifically, the ability to deal with challenging programming tasks—familiarity with common algorithms and data structures, and an understanding of basic concepts in discrete mathematics.",SP25,CS,"Blockchains, Cryptocurrencies, and Smart Contracts",Blockchains & Cryptocurrencies,0,0
5435,,2025-08-17T17:19:40.432458,"This course is a broad overview of modern computer security and digital privacy. It aims to impart technical and social understanding of how and why security and privacy matter, how to think adversarially, and how (and how not) to design secure systems and products. Topics include authentication, Web and mobile security, network, OS, and low-level software security, elements of applied cryptography, privacy protection technologies, censorship resistance, and security and privacy of emerging platforms, illustrated by studying real-world systems and attacks. Key learning objectives include understanding the role of threat modeling in the design and evaluation of modern computing systems, how exploitation of computing systems works, and approaches to finding and remediating vulnerabilities.",SP25-CS-5435,"[""Vitaly Shmatikov""]",,0.6000000000000001,2,True,Prerequisite: CS 2800 or CS 4820 or permission of instructor.,SP25,CS,Security and Privacy Concepts in the Wild,Security & Privacy in the Wild,0,0
5456,,2025-08-17T17:19:40.432473,"This course introduces the basic architectural and design principles of computer networking including the design of communication protocols, congestion control, routing and switching, Internet, data center networks and wireless networks.",SP25-CS-5456,"[""Rachit Agarwal""]",,,,,,SP25,CS,Introduction to Computer Networks,Intro to Computer Networks,0,0
5643,,2025-08-17T17:19:40.432476,"This course introduces students to fundamental physically based modeling techniques used in computer graphics for animation of rigid and deformable solids, virtual characters, fluids and gases, and other systems. Students learn the techniques by implementing a series of interactive computer programs that apply a range of representative simulation methods to simple, primarily 2D systems, and by proposing and implementing a final project.",SP25-CS-5643,"[""Steve Marschner""]",,0.4000000000000001,6,True,"Prerequisite: CS 4620 or equivalent; MATH 1120,  MATH 1920, or equivalent; MATH 2210, MATH 2940, or equivalent; PHYS 1112 or equivalent.",SP25,CS,Physically Based Animation for Computer Graphics,Phys Based Anim for Com Graph,0,0
5670,,2025-08-17T17:19:40.432551,"An in-depth introduction to computer vision. The goal of computer vision is to compute properties of our world - including the 3D shape of an environment, the motion of objects, and the names of things - through analysis of digital images or videos. The course covers a range of topics, including low-level vision, 3D reconstruction, and object recognition, as well as key algorithmic, optimization, and machine learning techniques, including deep learning. This course emphasizes hands-on experience with computer vision and includes several programming projects.",SP25-CS-5670,"[""Bharath Hariharan"", ""Wei-Chiu Ma"", ""Noah Snavely""]",,0.1,5,True,"Prerequisite: CS 2110, CS 2800, MATH 1920 or equivalent and MATH 2310 or MATH 2940 or equivalent (Ithaca only).",SP25,CS,Introduction to Computer Vision,Intro to Computer Vision,0,0
5700,,2025-08-17T17:19:40.432598,"Introduction to major topics in artificial intelligence, including heuristic search, game-playing, knowledge representation and reasoning, planning, probabilistic inference, sequential decision-making and reinforcement learning.",SP25-CS-5700,"[""Kevin Ellis""]",,,,,,SP25,CS,Foundations of AI Reasoning and Decision-Making,AI Reasoning & Decision-Making,0,0
5726,,2025-08-17T17:19:40.432601,"Provides an applied treatment of modern causal inference using machine learning to handle high-dimensionality and nonparametric estimation. Formulates key causal questions in the languages of structural equation modeling and potential outcomes. Presents methods for estimating and constructing confidence intervals on causal and structural parameters using machine learning, including de-biased machine learning, and for learning how to predict heterogeneous treatment effects. Introduces tools from machine learning and deep learning developed for prediction purposes and discusses how to adapt them to causal inference. Emphasizes the applied and practical perspectives with real-world-data examples and assignments. Requires basic knowledge of statistics and machine learning and programming experience in R or Python.",SP25-CS-5726,"[""Nathan Kallus""]",,0.9,2,False,Prerequisite: ORIE 5750 or CS 5785.,SP25,CS,Applied Causal Inference using Machine Learning,Appld Causal Inference ML,0,0
5740,,2025-08-17T17:19:40.432633,"This course constitutes an introduction to natural language processing (NLP), the goal of which is to enable computers to use human languages as input, output, or both. NLP is at the heart of many of today's most exciting technological achievements, including machine translation, automatic conversational assistants and Internet search. The course will introduce core problems and methodologies in NLP, including machine learning, problem design, and evaluation methods. ",SP25-CS-5740,"[""Yoav Artzi"", ""Claire Cardie"", ""Tanya Goyal""]",,,,,,SP25,CS,Natural Language Processing,Natural Language Processing,0,0
5756,,2025-08-17T17:19:40.432641,"How do we get robots out of the labs and into the real world with all it's complexities?
Robots must solve two fundamental problems -- (1) Perception: Sense the world using different modalities and (2) Decision making: Act in the world by reasoning over decisions and their consequences. Machine learning promises to solve both problems in a scalable way using data. However, it has fallen short when it comes to robotics.
This course dives deep into robot learning, looks at fundamental algorithms and challenges, and case-studies of real-world applications from self-driving to manipulation.",SP25-CS-5756,"[""Kuan Fang""]","[""Imitation and interactive no-regret learning that handle distribution shifts, exploration/exploitation."", ""Practical reinforcement learning leveraging both model predictive control and model-free methods."", ""Learning perception models using probabilistic inference and 2D/3D deep learning."", ""Frontiers in learning from human feedback (RLHF), planning with LLMs, human motion forecasting and offline reinforcement learning.""]",0.1,9,True,"Prerequisite: CS 2800, probability theory (e.g. BTRY 3010, ECON 3130, MATH 4710, ENGRD 2700), linear algebra (e.g. MATH 2940), calculus (e.g. MATH 1920), programming proficiency (e.g. CS 2110), and CS 3780 or equivalent or permission of instructor.",SP25,CS,Robot Learning,Robot Learning,0,0
5758,,2025-08-17T17:19:40.432738,"Creating robots capable of performing complex tasks autonomously requires one to address a variety of different challenges such as sensing, perception, control, planning, mechanical design, and interaction with humans. In recent years many advances have been made toward creating such systems, both in the research community (different robot challenges and competitions) and in industry (industrial, military, and domestic robots). This course gives an overview of the challenges and techniques used for creating autonomous mobile robots. Topics include sensing, localization, mapping, path planning, motion planning, obstacle and collision avoidance, and multi-robot control.",SP25-CS-5758,"[""Anastasia Bizyaeva""]","[""Students will be able to understand and implement localization and mapping algorithms using different sensor modalities."", ""Students will be able to generate a path and the motion for a robot moving around an area with obstacles."", ""Students will be able to understand and implement the concepts of different approaches for motion planning such as roadmaps, feedback control, and sampling based methods."", ""Students will be able to apply the tools learned in the class to physical robots.""]",,,,,SP25,CS,Autonomous Mobile Robots,Autonomous Mobile Robots,0,0
5775,,2025-08-17T17:19:40.432744,"This Master's level course will take a hardware-centric view of machine learning systems. From constrained embedded microcontrollers to large distributed multi-GPU systems, we will investigate how these platforms run machine learning algorithms. We will look at different levels of the hardware/software/algorithm stack to make modern machine learning systems possible. This includes understanding different hardware acceleration paradigms, common hardware optimizations such as low-precision arithmetic and sparsity, compilation methodologies, model compression methods such as pruning and distillation, and multi-device federated and distributed training. Through hands-on assignments and an open-ended project, students will develop a holistic view of what it takes to train and deploy a deep neural network.",SP25-CS-5775,"[""Mohamed Abdelfattah""]","[""Understand how machine learning algorithms run on computer systems. This includes both the hardware and the software that maps computations onto the computer chips."", ""Apply key optimization techniques such as pruning, quantization and distillation to machine learning algorithms to improve their efficiency on different hardware platforms."", ""Analyze the performance and efficiency of different hardware platforms with and without optimizations, and understand the impact of efficiency optimizations on the accuracy of a machine learning algorithm."", ""Design both the hardware and software components of a machine learning computer system.""]",1.0,0,False,"Prerequisite: undergraduate ECE/CS degree, programming experience, introductory ML course.",SP25,CS,Machine Learning Hardware and Systems,ML Hardware and Systems,0,0
5780,,2025-08-17T17:19:40.432748,"The course provides an introduction to machine learning, focusing on supervised learning and its theoretical foundations. Topics include: regularized linear models, boosting, kernels, deep networks, generative models, online learning, and ethical questions arising in ML applications.",SP25-CS-5780,"[""Tushaar Gangavarapu"", ""Karthik Sridharan""]",,0.4000000000000001,8,True,"Prerequisite: CS 2800, probability theory (e.g. BTRY 3080, ECON 3130, MATH 4710, ENGRD 2700), linear algebra (e.g. MATH 2940), calculus (e.g. MATH 1920), and programming proficiency (e.g. CS 2110).",SP25,CS,Introduction to Machine Learning,Intro to Machine Learning,0,0
5782,,2025-08-17T17:19:40.432841,"This class is an introductory course to deep learning. It covers the fundamental principles behind training and inference of deep networks, the specific architecture design choices applicable for different data modalities, discriminative and generative settings, and the ethical and societal implications of such models.",SP25-CS-5782,"[""Kilian Weinberger"", ""Jennifer Sun""]","[""Demonstrate the ability to perform neural network training and inference."", ""Identify the correct neural network architecture choices for a given data modality."", ""Implement a working deep learning pipeline for vision and language tasks.""]",0.7,5,False,"Prerequisite: ECE 4200, STSCI 3740, CS 1110, CS 3780, and CS 2110.",SP25,CS,Introduction to Deep Learning,Introduction to Deep Learning,0,0
5789,,2025-08-17T17:19:40.432890,Reinforcement Learning is one of the most popular paradigms for modelling interactive learning and sequential decision making in dynamical environments. This course introduces the basics of Reinforcement Learning and Markov Decision Process. The course will cover algorithms for planning and learning in Markov Decision Processes. We will discuss potential applications of Reinforcement Learning and their implications. We will study and implement classic Reinforcement Learning algorithms.,SP25-CS-5789,"[""Wen Sun""]","[""Identify the differences between Reinforcement Learning and traditional Supervised Learning and grasp the key definitions of Markov Decision Processes."", ""Analyze the performance of the class planning algorithms and learning algorithms for Markov Decision Process."", ""Implement classic algorithms and demonstrate their performance on benchmarks.""]",0.6000000000000001,1,True,Prerequisite: CS 5780 or equivalent.,SP25,CS,Introduction to Reinforcement Learning,Intro Reinforcement Learning,0,0
5820,,2025-08-17T17:19:40.432902,"Develops techniques used in the design and analysis of algorithms, with an emphasis on problems arising in computing applications. Example applications are drawn from systems and networks, artificial intelligence, computer vision, data mining, and computational biology. This course covers four major algorithm design techniques (greedy algorithms, divide-and-conquer, dynamic programming, and network flow), undecidability and NP-completeness, and algorithmic techniques for intractable problems (including identification of structured special cases, approximation algorithms, local search heuristics, and online algorithms).",SP25-CS-5820,"[""Michael Kim""]",,,,,,SP25,CS,Introduction to Analysis of Algorithms,Intro Analysis of Algorithms,0,0
5850,,2025-08-17T17:19:40.432906,"Covers the mathematical foundations for access to information. Topics include high dimensional space, random graphs, singular value decomposition, Markov processes, learning theory, and algorithms for massive data.",SP25-CS-5850,"[""Robert Kleinberg""]",,0.7,5,False,"Prerequisite: CS 2800, MATH 1910, MATH 1920, MATH 2210 or MATH 2940.",SP25,CS,"Probability, Vectors, and Matrices in Computing","Prob, Vectors, Matrices in CS",0,0
5996,,2025-08-17T17:19:40.432960,,SP25-CS-5996,"[""Chris Welty""]",,,,,,SP25,CS,Special Topics in Computer Science,Special Topics in CS,0,0
5998,,2025-08-17T17:19:40.432962,Off-campus internship with industry in which a student gains knowledge and experience in the field of computer science.,SP25-CS-5998,,,,,,,SP25,CS,Master of Engineering Internship,MEng Internship,0,0
5999,,2025-08-17T17:19:40.432975,Independent or group project under the direction of a CS field member or researcher. Projects involve the development of a computer science application (software or hardware) useful in exploring and/or solving an engineering problem with a computer science focus.,SP25-CS-5999,"[""Ziv Scully"", ""Thijs Roumen"", ""Christina Yu"", ""Francesca Parise"", ""Walker White"", ""Adrian Sampson"", ""Thorsten Joachims"", ""Alexander Rush"", ""Yoav Artzi"", ""Hadar Elor"", ""Nicki Dell"", ""Ayham Boucher"", ""Christopher De Sa"", ""Thomas Ristenpart"", ""Rene Kizilcec"", ""Alexandra Silva"", ""Michael Clarkson"", ""Eva Tardos"", ""Raaz Dwivedi"", ""Ken Birman"", ""Andrew Myers"", ""Mark Campbell"", ""Kevin Ellis"", ""Phoebe Sengers"", ""K. Max Zhang"", ""Mark Wilde"", ""Vitaly Shmatikov"", ""Jamol Pender"", ""Anne Bracy"", ""Kilian Weinberger"", ""Guy Hoffman"", ""Wendy Ju"", ""Cristian Danescu-Niculescu-Mizil"", ""Christina Delimitrou"", ""Ahmed El Alaoui"", ""Curran Muhlberger"", ""Carla Gomes"", ""Susan Fussell"", ""Haym Hirsh"", ""Justin Hsu"", ""Mert Sabuncu"", ""Michael Kim"", ""Steve Marschner"", ""David Albonesi"", ""Owolabi Legunsen"", ""Mahdi Boucetta"", ""John Thickstun"", ""Jose Martinez"", ""Katya Scheinberg"", ""Tapomayukh Bhattacharjee"", ""Kavita Bala"", ""Shimon Edelman"", ""Anna Scaglione"", ""Rachit Agarwal"", ""Cafer Avci"", ""Abe Davis"", ""Ramin Zabih"", ""Hakim Weatherspoon"", ""Udit Gupta"", ""Alex Conway"", ""Silvia Ferrari"", ""Jon Kleinberg"", ""Nate Foster"", ""Immanuel Trummer"", ""Volodymyr Kuleshov"", ""Christopher Batten"", ""Alex Townsend"", ""Emaad Manzoor"", ""Daniel Lee"", ""Sarah Dean"", ""Malte Jung"", ""Fengqi You"", ""Matthew Eichhorn"", ""Emma Pierson"", ""Nikhil Garg"", ""Hadas Kress-Gazit"", ""Alon Keinan"", ""Sainyam Galhotra"", ""Jennifer Sun"", ""Lillian Lee"", ""Qian Yang"", ""Giulia Guidi"", ""Anil Damle"", ""Karthik Sridharan"", ""Anil Nerode"", ""Fred Schneider"", ""Ari Juels"", ""Bart Selman"", ""Wen Sun"", ""David Matteson"", ""Mohamed Abdelfattah"", ""Robbert VanRenesse"", ""Noah Stephens-Davidowitz"", ""Kirstin Petersen"", ""A. Kevin Tang"", ""David Mimno"", ""Kuan Fang"", ""Jaehee Kim"", ""David Shmoys"", ""Oliver Gao"", ""Robert Kleinberg"", ""Noah Snavely"", ""Daisy Fan"", ""Aaron Wagner"", ""Paul Ginsparg"", ""Mor Naaman"", ""Dexter Kozen"", ""Shiri Azenkot"", ""Tapan Parikh"", ""Claire Cardie"", ""Rajalakshmi Nandakumar"", ""Florentina Bunea"", ""Haiyuan Yu"", ""Francois Guimbretiere"", ""Zhiru Zhang"", ""Rachee Singh"", ""Kristina Monakhova"", ""David Bindel"", ""Jayadev Acharya"", ""David Williamson"", ""Stephen Wicker"", ""Saikat Dutta"", ""Sid Banerjee"", ""Lorenzo Alvisi"", ""Eshan Chattopadhyay"", ""Bharath Hariharan"", ""Tanya Goyal"", ""Marten van Schijndel"", ""Anke van Zuylen"", ""Nathan Kallus"", ""Tanzeem Choudhury"", ""Cheng Zhang"", ""Angelique Taylor"", ""Sanjiban Choudhury""]",,,,,,SP25,CS,Master of Engineering Project,Master of Engineering Project,0,0
6110,,2025-08-17T17:19:40.432979,"Study of programming paradigms: functional, imperative, concurrent, and probabilistic programming. Mathematical foundations: inductive definitions, fixed points, and formal semantics. Models of programming languages including the lambda calculus. Type systems, polymorphism, modules, and object-oriented constructs. Program transformations, program logic, and applications to programming methodology. ",SP25-CS-6110,"[""Andrew Myers""]",,,,,,SP25,CS,Advanced Programming Languages,Adv Progr Languages,0,0
6120,,2025-08-17T17:19:40.432982,"This is a hands-on course about implementing programming languages. It covers intermediate representations, classic optimization, runtime systems, and more advanced techniques such as parallelization, just-in-time compilation, and garbage collection. Course work consists of reading and discussing both classic and modern research papers and implementation projects based on the LLVM compiler infrastructure.",SP25-CS-6120,"[""Adrian Sampson""]",,0.9,2,False,Prerequisite: CS 4120 or CS 5120.,SP25,CS,Advanced Compilers,Advanced Compilers,0,0
6156,,2025-08-17T17:19:40.433015,"Runtime Verification (RV) is a lightweight formal method for checking program executions against specifications. Foundations, algorithms, and tools for major approaches to RV will be covered, including monitor synthesis, specification languages, parametric monitoring, monitorability, instrumentation, and static analysis for reducing RV overhead. Students will become familiar with recent research results and challenges in RV, gain experience with RV tools, and conduct a research project.",SP25-CS-6156,"[""Owolabi Legunsen""]",,0.9,1,False,Prerequisite: graduate standing in CS or CS majors with CS 3110 grade of B+ or better.,SP25,CS,Runtime Verification,Runtime Verification,0,0
6230,,2025-08-17T17:19:40.433028,"The course will be divided into modules. The course will start with an overview of parallel machines and parallel programming. The course then will cover parallel computing topics in machine learning and deep learning combinatorial scientific computing, heterogeneous parallel programming and architectures, and high-performance domain-specific languages.",SP25-CS-6230,"[""Giulia Guidi""]","[""Describe data parallelism and model parallelism in parallel machine learning, identify such parallelism modes in published work, and implement such parallelism modes yourself."", ""Explain, design, and apply combinatorial techniques, especially in the context of graph analysis challenges, and identify combinatorial approaches in published work."", ""Recognize and describe various heterogeneous parallel computer architectures and their communication characteristics and performance; and explain approaches in published work.""]",,,,,SP25,CS,"Parallel Architectures, Algorithms, and Applications","Parallel Arch, Algo, Apps",0,0
6241,,2025-08-17T17:19:40.433031,"A discussion of numerical methods in the context of data analysis, machine learning, and network science problems. The course will focus on matrix and tensor decompositions, numerical algorithms for graph data, least squares, regression, and iterative methods.",SP25-CS-6241,"[""David Bindel""]",,1.0,0,False,"Prerequisite: strong background in linear algebra, prior exposure to numerical methods.",SP25,CS,Numerical Methods for Data Science,Data Science Numerics,0,0
6386,,2025-08-17T17:19:40.433035,,SP25-CS-6386,"[""Sainyam Galhotra""]",,,,,,SP25,CS,Data to Decisions: Principles of Efficient Data Science,Data to Decisions,0,0
6412,,2025-08-17T17:19:40.433041,"The overall objective of the course is to train students to acquire the skills required to become a faculty member in operating systems. This includes understanding the broader landscape of operating systems and its applications, the ability to give clear presentations on the undergraduate and graduate level, write peer review assessments of research papers, conduct independent research, and write a final research report.  The course focuses on one or more core focus areas within operating systems research, such as storage systems, memory systems, networking, distributed systems or security. Additionally, students conduct an independent research project including a coding demo and produce a written report on their findings.",SP25-CS-6412,"[""Alex Conway""]","[""Present, discuss and critique advanced operating systems research papers in areas such as storage systems, memory systems, networking, distributed systems or security."", ""Conduct independent research in operating systems and synthesize the results into a written report."", ""Analyze and evaluate systems behavior, functionality and performance."", ""Demonstrate best practices for systems evaluation and identify common evaluation pitfalls.""]",,,,,SP25,CS,Advanced Topics in Operating Systems,Adv. Topics in Operating Syst.,0,0
6458,,2025-08-17T17:19:40.433046,"This graduate-level course will systematically explore the fundamentals of optical interconnects in computer systems. The course will discuss the design, implementation and value of optical interconnects of a variety of sizes: long-haul optical interconnects, datacenter-scale optical interconnects and server-scale optical interconnects.",SP25-CS-6458,"[""Rachee Singh""]","[""Explain how long-haul fiber connects planet-scale datacenter deployments."", ""Explain the design and implementation of optically switched datacenters."", ""Explain the design and implementation of optical interconnects within servers."", ""Develop hands-on understanding of these interconnects through class projects that involve data collection of deployed interconnects, systems development leveraging the capabilities of interconnects etc.""]",,,,,SP25,CS,Systems for Programmable Optical Interconnects,Sys Optical Interconnect,0,0
6682,,2025-08-17T17:19:40.433052,"This course will focus on computational tools and methods for content creation in different domains. We will cover methods used in interactive artistic applications (visual arts, film, music, video games) as well as domains where complete automation is the goal (e.g., photometric reconstruction and image-based rendering, data augmentation). The course will involve a mix of lectures given by the instructor and presentations/discussions about research papers that will be assigned to students. Topics will include: different representations of images (e.g., vector and raster graphics), 3D models (e.g., surface manifolds vs volumetric representations), and audio (e.g., time signals vs short-time spectra), as well as parametric control of these representations and their relation to other types of data. A theory or program heavy project will be completed.",SP25-CS-6682,"[""Abe Davis""]","[""Students should learn how to recognize the advantages and disadvantages of different representations for media."", ""Students should demonstrate the ability to analyze and connect ideas from research papers in different domains (e.g., graphics, vision, music information retrieval, hci)."", ""Students should demonstrate a deeper practical understanding of how computation is used for content creation in domains that they pursue through course projects.""]",0.9,3,False,"Prerequisite: Python, MATH 2210, CS 2110, or CS 2112.",SP25,CS,Computation for Content Creation,Computation Content Creation,0,0
6751,,2025-08-17T17:19:40.433091,"Robot manipulation is the ability for a robot to interact physically with objects in the world and manipulate them towards completing a task. It is one of the greatest technical challenges in robotics, due primarily to the interplay of uncertainty about the world and clutter within it. As robots become integrated into complex human environments, robot manipulation is increasingly necessary to assist humans in these unstructured environments. Robotic manipulation will enable applications like personal assistant robots in the home and factory worker robots in advanced manufacturing. This course is a mixture of lectures and paper presentations and covers the fundamental theory, concepts, and systems of robot manipulation, including both software and hardware. Topics we will cover this semester include perception, state estimation, robot arm kinematics and dynamics, task and motion planning, machine learning, controls, human-robot interaction towards various robot manipulation tasks. The course features a semester-long group project in which students propose, formalize, and execute a working robotic manipulation system towards a real-world task. The scope of possible components is quite broad and extends beyond traditional robotics issues into other aspects of CS. This course is offered to prepare a student for Ph.D. research in robot manipulation.",SP25-CS-6751,"[""Tapomayukh Bhattacharjee""]",,1.0,0,False,"Prerequisite: Proficiency in C++ or Python, and familiarity with ROS.",SP25,CS,Robot Manipulation,Robot Manipulation,0,0
6754,,2025-08-17T17:19:40.433098,"As robots move from factory floors and battlefields into homes, offices, schools, and hospitals, how can we build robotic systems made for human interaction?  Course will cover core engineering, computational, and experimental techniques in human-robot interaction (HRI). Lectures will cover key algorithms in Probabilistic Robotics, including Bayesian Networks, Markov Models, HMMs, Kalman and Particle Filters, MDP and POMPD, Supervised Learning, and Reinforcement Learning. Seminal and recent papers in HRI will be discussed, including topics such as: generating intentional action, reasoning about humans, social navigation, teamwork and collaboration, machine learning with humans in the loop, and human-robot dialog. Students will learn methods for designing and analyzing HRI experiments.  Presentation of papers in class, and an HRI-related research project in teams will be required.  Intended for M.Eng to PhD students from multiple disciplines including MAE, CS, ECE and IS.",SP25-CS-6754,"[""Guy Hoffman""]","[""Students will be able to find, read, and comprehend a technical HRI Research Paper."", ""Students will be familiar with the main probabilistic algorithms driving computational HRI."", ""Students will be able to implement a HRI system in ROS."", ""Students will be able to know how to plan and execute a human-subject study and analyze the results of a study using inferential statistics."", ""Students will be proficient at presenting a research paper in a 20-minute conference-style presentation."", ""Students will be able to know how to critically review a paper and comment on its advantages and shortcomings.""]",1.0,0,False,Prerequisite: Python programming experience.,SP25,CS,Human-Robot Interaction: Algorithms and Experiments,Human-Robot Interaction,0,0
6785,,2025-08-17T17:19:40.433104,"Generative models are a class of machine learning algorithms that define probability distributions over complex, high-dimensional objects such as images, sequences, and graphs. Recent advances in deep neural networks and optimization algorithms have significantly enhanced the capabilities of these models and renewed research interest in them. This course explores the foundational probabilistic principles of deep generative models, their learning algorithms, and popular model families, which include variational autoencoders, generative adversarial networks, autoregressive models, and normalizing flows. The course also covers applications in domains such as computer vision, natural language processing, and biomedicine, and draws connections to the field of reinforcement learning.",SP25-CS-6785,"[""John Thickstun""]","[""Describe the probabilistic approach to machine learning, including key issues in modeling, inference, and learning of probabilistic models."", ""Demonstrate knowledge of modern deep generative machine learning algorithms including variational autoencoders, generative adversarial networks, autoregressive models, and normalizing flows."", ""Implement and apply probabilistic and deep generative algorithms to problems and datasets involving images, text, audio, and other modalities."", ""Develop an understanding of state-of-the-art results and open research problems in modern deep generative modeling.""]",0.4000000000000001,4,True,"Prerequisite: CS 2110, MATH 1920, MATH 2940, MATH 4710, or permission of instructor.",SP25,CS,Deep Probabilistic and Generative Models,Deep Generative Models,0,0
6802,,2025-08-17T17:19:40.433154,"A mathematically rigorous course on lattices. Lattices are periodic sets of vectors in high-dimensional space. They play a central role in modern cryptography, and they arise naturally in the study of high-dimensional geometry (e.g., sphere packings). We will study lattices as both geometric and computational objects. Topics include Minkowski's celebrated theorem, the famous LLL algorithm for finding relatively short lattice vectors, Fourier-analytic methods, basic cryptographic constructions, and modern algorithms for finding shortest lattice vectors. We may also see connections to algebraic number theory.",SP25-CS-6802,"[""Noah Stephens-Davidowitz""]","[""Demonstrate algorithmic techniques such as basis reduction and sieving."", ""Identify Regev's lattice-based public-key encryption scheme."", ""Understand how Fourier-analytic methods can be used to study the geometry of lattices.""]",0.6000000000000001,1,True,Prerequisite: MATH 4310 or permission of instructor.,SP25,CS,"Lattices: Geometry, Cryptography, and Algorithms",Lattices,0,0
6816,,2025-08-17T17:19:40.433173,"Meta-complexity refers to the computational complexity of problems that are themselves about computations and their complexity. Such problems include the Minimum Circuit Size Problem and the Time-bounded Kolmogorov Complexity Problem, the study of which originated in the 1950s/60s and predate the modern study of Complexity theory. Meta-complexity provides a unifying framework for a variety of central tasks in several areas of computer science, including computational complexity, cryptography, and learning theory, and there has been a recent explosion of works connecting these areas through the lens of Meta-complexity. In this course, we will focus on these recent development, with a particular focus on connections with Cryptography.",SP25-CS-6816,"[""Rafael Pass""]","[""Describe classic problems, concepts, and key results, in meta-complexity."", ""Analyze algorithms and cryptographic schemes related to meta-complexity."", ""Explain reductions between meta-complexity and cryptographic problems.""]",,,,,SP25,CS,Meta-Complexity and Cryptography,Meta-Complexity,0,0
